# Type: scattered data
# Version: 4
# Description: Exported paths data from database:offshore5.dwd
# Format: fixed
# Field: wellid 1 15 non-numeric
# Field: md 16 25
# Field: "tvdss (z)" 26 35
# Field: x 36 45
# Field: y 46 55
# Field: linecol 50 53 non-numeric
# Field: symbol 54 57 non-numeric
# Field: commonid 59 62 non-numeric
# Projection: Transverse Mercator
# Units: meters
# Ellipsoid: Hayford International 1924
# Scale_Factor_at_Central_Meridian: 0.999600
# Central_Meridian: 45 30 15.000000 E
# Latitude_of_Origin: 15 30 10.000000 N
# False_Easting: 100000.000000
# False_Northing: 500000.000000
# End:
5-337-14R      4920.00   -4065.60  59223.70  116553.40 
5-337-14R      4930.00   -4075.60  59223.40  116553.70 
5-337-14R      4940.00   -4085.60  59223.10  116553.90 
5-337-14R      4950.00   -4095.60  59222.80  116554.10 
5-337-14R      4960.00   -4105.60  59222.50  116554.30 
5-337-14R      4970.00   -4115.60  59222.30  116554.50 
5-337-14R      4980.00   -4125.60  59222.00  116554.70 
5-337-14R      4990.00   -4135.60  59221.80  116554.90 
5-337-14R      5000.00   -4145.60  59221.50  116555.10 
5-337-14R      5010.00   -4155.60  59221.30  116555.30 
5-337-14R      5020.00   -4165.60  59221.10  116555.50 
5-337-14R      5030.00   -4175.60  59220.90  116555.60 
5-337-14R      5040.00   -4185.60  59220.80  116555.80 
5-337-14R      5050.00   -4195.60  59220.60  116555.90 
5-337-14R      5060.00   -4205.60  59220.40  116556.10 
5-337-14R      5070.00   -4215.60  59220.30  116556.20 
5-337-14R      5080.00   -4225.50  59220.10  116556.40 
5-337-14R      5090.00   -4235.50  59220.00  116556.50 
5-337-14R      5100.00   -4245.50  59219.80  116556.60 
5-337-14R      5110.00   -4255.50  59219.70  116556.80 
5-337-14R      5120.00   -4265.50  59219.60  116556.90 
5-337-14R      5130.00   -4275.50  59219.50  116557.00 
5-337-14R      5140.00   -4285.50  59219.40  116557.20 
5-337-14R      5150.00   -4295.50  59219.20  116557.30 
5-337-14R      5160.00   -4305.50  59219.20  116557.40 
5-337-14R      5170.00   -4315.50  59219.10  116557.50 
5-337-14R      5180.00   -4325.50  59219.00  116557.60 
5-337-14R      5190.00   -4335.50  59219.00  116557.70 
5-337-14R      5200.00   -4345.50  59218.90  116557.70 
